city,year,cityLat,cityLon,climate_cluster
驻马店,2012,33.2804528,114.1296158,2
驻马店,2013,33.2804528,114.1296158,2
驻马店,2014,33.2804528,114.1296158,0
驻马店,2015,33.2804528,114.1296158,0
驻马店,2016,33.2804528,114.1296158,0
驻马店,2017,33.2804528,114.1296158,0
驻马店,2018,33.2804528,114.1296158,0
驻马店,2019,33.2804528,114.1296158,2
驻马店,2020,33.2804528,114.1296158,0
驻马店,2021,33.2804528,114.1296158,0
驻马店,2022,33.2804528,114.1296158,2
驻马店,2023,33.2804528,114.1296158,2
驻马店,2024,33.2804528,114.1296158,0
